# File: A_demand_base_food_prices.csv
# Title: Base Year Food Prices
# Units: 2005$/Mcal/day
# Description: Base year staple and nonstaple prices
# Source: GCAM Output
# Column types: cccccnn
# ----------
Units,region,gcam-consumer,nodeinput,input,year,value
2005$/Mcal/day,South America_Southern,FoodDemand,FoodDemand,FoodDemand_Staples,1990,0.033413
2005$/Mcal/day,South America_Southern,FoodDemand,FoodDemand,FoodDemand_Staples,2005,0.0335842
2005$/Mcal/day,South America_Southern,FoodDemand,FoodDemand,FoodDemand_Staples,2010,0.034328
2005$/Mcal/day,South America_Southern,FoodDemand,FoodDemand,FoodDemand_Staples,2015,0.0342446
2005$/Mcal/day,South Asia,FoodDemand,FoodDemand,FoodDemand_NonStaples,1975,0.248688
2005$/Mcal/day,South Asia,FoodDemand,FoodDemand,FoodDemand_NonStaples,1990,0.248688
2005$/Mcal/day,South Asia,FoodDemand,FoodDemand,FoodDemand_NonStaples,2005,0.276087
2005$/Mcal/day,South Asia,FoodDemand,FoodDemand,FoodDemand_NonStaples,2010,0.269033
2005$/Mcal/day,South Asia,FoodDemand,FoodDemand,FoodDemand_NonStaples,2015,0.259785
2005$/Mcal/day,South Asia,FoodDemand,FoodDemand,FoodDemand_Staples,1975,0.0281843
2005$/Mcal/day,South Asia,FoodDemand,FoodDemand,FoodDemand_Staples,1990,0.0281843
2005$/Mcal/day,South Asia,FoodDemand,FoodDemand,FoodDemand_Staples,2005,0.0289231
2005$/Mcal/day,South Asia,FoodDemand,FoodDemand,FoodDemand_Staples,2010,0.0294091
2005$/Mcal/day,South Asia,FoodDemand,FoodDemand,FoodDemand_Staples,2015,0.029859
2005$/Mcal/day,South Korea,FoodDemand,FoodDemand,FoodDemand_NonStaples,1975,1.29744
2005$/Mcal/day,South Korea,FoodDemand,FoodDemand,FoodDemand_NonStaples,1990,1.29744
2005$/Mcal/day,South Korea,FoodDemand,FoodDemand,FoodDemand_NonStaples,2005,1.15887
2005$/Mcal/day,South Korea,FoodDemand,FoodDemand,FoodDemand_NonStaples,2010,0.952475
2005$/Mcal/day,South Korea,FoodDemand,FoodDemand,FoodDemand_NonStaples,2015,0.824026
2005$/Mcal/day,South Korea,FoodDemand,FoodDemand,FoodDemand_Staples,1975,0.127118
2005$/Mcal/day,South Korea,FoodDemand,FoodDemand,FoodDemand_Staples,1990,0.127118
2005$/Mcal/day,South Korea,FoodDemand,FoodDemand,FoodDemand_Staples,2005,0.111969
2005$/Mcal/day,South Korea,FoodDemand,FoodDemand,FoodDemand_Staples,2010,0.112275
2005$/Mcal/day,South Korea,FoodDemand,FoodDemand,FoodDemand_Staples,2015,0.102396
2005$/Mcal/day,Southeast Asia,FoodDemand,FoodDemand,FoodDemand_NonStaples,1975,0.345796
2005$/Mcal/day,Southeast Asia,FoodDemand,FoodDemand,FoodDemand_NonStaples,1990,0.345796
2005$/Mcal/day,Southeast Asia,FoodDemand,FoodDemand,FoodDemand_NonStaples,2005,0.349291
2005$/Mcal/day,Southeast Asia,FoodDemand,FoodDemand,FoodDemand_NonStaples,2010,0.310667
2005$/Mcal/day,Southeast Asia,FoodDemand,FoodDemand,FoodDemand_NonStaples,2015,0.285741
2005$/Mcal/day,Southeast Asia,FoodDemand,FoodDemand,FoodDemand_Staples,1975,0.0365292
2005$/Mcal/day,Southeast Asia,FoodDemand,FoodDemand,FoodDemand_Staples,1990,0.0365292
2005$/Mcal/day,Southeast Asia,FoodDemand,FoodDemand,FoodDemand_Staples,2005,0.0362458
2005$/Mcal/day,Southeast Asia,FoodDemand,FoodDemand,FoodDemand_Staples,2010,0.0362242
2005$/Mcal/day,Southeast Asia,FoodDemand,FoodDemand,FoodDemand_Staples,2015,0.0355637
2005$/Mcal/day,Taiwan,FoodDemand,FoodDemand,FoodDemand_NonStaples,1975,0.354788
2005$/Mcal/day,Taiwan,FoodDemand,FoodDemand,FoodDemand_NonStaples,1990,0.354788
2005$/Mcal/day,Taiwan,FoodDemand,FoodDemand,FoodDemand_NonStaples,2005,0.330724
2005$/Mcal/day,Taiwan,FoodDemand,FoodDemand,FoodDemand_NonStaples,2010,0.291426
2005$/Mcal/day,Taiwan,FoodDemand,FoodDemand,FoodDemand_NonStaples,2015,0.267388
2005$/Mcal/day,Taiwan,FoodDemand,FoodDemand,FoodDemand_Staples,1975,0.0464362
2005$/Mcal/day,Taiwan,FoodDemand,FoodDemand,FoodDemand_Staples,1990,0.0464362
2005$/Mcal/day,Taiwan,FoodDemand,FoodDemand,FoodDemand_Staples,2005,0.0397608
2005$/Mcal/day,Taiwan,FoodDemand,FoodDemand,FoodDemand_Staples,2010,0.0403237
2005$/Mcal/day,Taiwan,FoodDemand,FoodDemand,FoodDemand_Staples,2015,0.0396256
2005$/Mcal/day,USA,FoodDemand,FoodDemand,FoodDemand_NonStaples,1975,0.292997
2005$/Mcal/day,USA,FoodDemand,FoodDemand,FoodDemand_NonStaples,1990,0.292997
2005$/Mcal/day,USA,FoodDemand,FoodDemand,FoodDemand_NonStaples,2005,0.295273
2005$/Mcal/day,USA,FoodDemand,FoodDemand,FoodDemand_NonStaples,2010,0.280179
2005$/Mcal/day,USA,FoodDemand,FoodDemand,FoodDemand_NonStaples,2015,0.278751
2005$/Mcal/day,USA,FoodDemand,FoodDemand,FoodDemand_Staples,1975,0.0245086
2005$/Mcal/day,USA,FoodDemand,FoodDemand,FoodDemand_Staples,1990,0.0245086
2005$/Mcal/day,USA,FoodDemand,FoodDemand,FoodDemand_Staples,2005,0.0249088
2005$/Mcal/day,USA,FoodDemand,FoodDemand,FoodDemand_Staples,2010,0.0248467
2005$/Mcal/day,USA,FoodDemand,FoodDemand,FoodDemand_Staples,2015,0.0251036
